score_entry_threshold,min_tier,stop_loss_ticks,target_ticks,exit_on_opposing_score,max_bars_in_trade,total_trades,win_rate,profit_factor,max_drawdown_dollars,sharpe,avg_pnl_per_trade,net_pnl
40,0,20,24,0.3,30,280,0.8428571428571429,15.813751224565603,642.893580739983,20.94447937155816,92.36254067528093,25861.51138907866
40,0,20,24,0.3,60,262,0.8778625954198473,21.064818135862918,484.05699796494446,25.649704074906133,104.37390745828786,27345.963754071417
40,0,20,24,0.5,15,327,0.7798165137614679,10.276364159202474,660.610068517708,15.425799871770975,69.70733866881346,22794.299744702002
40,0,20,24,0.5,30,278,0.8453237410071942,16.03141802116898,617.7474019729561,21.163638024485067,93.03426772746083,25863.52642823411
40,0,20,24,0.5,60,258,0.8837209302325582,22.8034715708666,260.4480922386574,27.050058809862026,106.75647586708685,27543.170773708407
40,0,20,24,0.7,15,327,0.7798165137614679,10.276364159202474,660.610068517708,15.425799871770975,69.70733866881346,22794.299744702002
40,0,20,24,0.7,30,278,0.8453237410071942,16.03141802116898,617.7474019729561,21.163638024485067,93.03426772746083,25863.52642823411
40,0,20,24,0.7,60,258,0.8837209302325582,22.8034715708666,260.4480922386574,27.050058809862026,106.75647586708685,27543.170773708407
40,0,20,32,0.3,15,328,0.7774390243902439,11.47058764913807,700.7562472847349,15.134724684151513,79.7230291644359,26149.153565934976
40,0,20,32,0.3,30,264,0.8409090909090909,18.933984346224477,642.893580739983,21.06480188919433,111.99247862957897,29566.01435820885
40,0,20,32,0.3,60,246,0.8699186991869918,24.47727628661761,484.05699796494446,25.889895242317117,130.06804418920413,31996.738870544214
40,0,20,32,0.5,15,327,0.7798165137614679,11.657992753773021,660.610068517708,15.223594028811304,80.08960166575535,26189.299744702002
40,0,20,32,0.5,30,262,0.8435114503816794,19.213010128451426,617.7474019729561,21.297545067936202,112.8550740357416,29568.0293973643
40,0,20,32,0.5,60,242,0.8760330578512396,26.477159293682696,260.4480922386574,27.279014045479286,132.99151194289755,32183.945890181203
40,0,20,32,0.7,15,327,0.7798165137614679,11.657992753773021,660.610068517708,15.223594028811304,80.08960166575535,26189.299744702002
40,0,20,32,0.7,30,262,0.8435114503816794,19.213010128451426,617.7474019729561,21.297545067936202,112.8550740357416,29568.0293973643
40,0,20,32,0.7,60,242,0.8760330578512396,26.477159293682696,260.4480922386574,27.279014045479286,132.99151194289755,32183.945890181203
40,0,20,40,0.3,15,328,0.7774390243902439,12.675845354495031,700.7562472847349,14.722645291921637,88.89985843272858,29159.153565934976
40,0,20,40,0.3,30,256,0.8359375,20.917571026555706,642.893580739983,20.200054211817275,128.26625250956596,32836.160642448885
40,0,20,40,0.3,60,233,0.8626609442060086,29.71082447978123,484.05699796494446,25.777539877237075,155.8591073712959,36315.17201751194
40,0,20,40,0.5,15,327,0.7798165137614679,12.882941817000516,660.610068517708,14.802499718850344,89.29449463211621,29199.299744702002
40,0,20,40,0.5,30,254,0.8385826771653543,21.22732114647587,617.7474019729561,20.416690423675693,129.28415622678872,32838.175681604334
40,0,20,40,0.5,60,229,0.868995633187773,32.3264434134324,260.4480922386574,27.135707334648682,159.3990350967202,36502.37903714893
40,0,20,40,0.7,15,327,0.7798165137614679,12.882941817000516,660.610068517708,14.802499718850344,89.29449463211621,29199.299744702002
40,0,20,40,0.7,30,254,0.8385826771653543,21.22732114647587,617.7474019729561,20.416690423675693,129.28415622678872,32838.175681604334
40,0,20,40,0.7,60,229,0.868995633187773,32.3264434134324,260.4480922386574,27.135707334648682,159.3990350967202,36502.37903714893
40,0,20,60,0.3,15,328,0.7774390243902439,15.194473582633,700.7562472847349,13.729581863967375,108.07668770102127,35449.153565934976
40,0,20,60,0.3,30,253,0.841897233201581,26.918586808498862,642.893580739983,19.278887021492356,165.78927961834887,41944.687743442264
40,0,20,60,0.3,60,221,0.8552036199095022,35.34159617034956,484.05699796494446,24.348260162609723,211.56977466296618,46756.920200515524
40,0,20,60,0.5,15,327,0.7798165137614679,15.442719095306478,660.610068517708,13.793630460867139,108.52996863823242,35489.299744702
40,0,20,60,0.5,30,251,0.8446215139442231,27.3289416250593,617.7474019729561,19.47447422548954,167.11833777927376,41946.70278259771
40,0,20,60,0.5,60,217,0.8617511520737328,38.20143607306278,260.4480922386574,25.47133465995804,216.33238350300698,46944.12722015251
40,0,20,60,0.7,15,327,0.7798165137614679,15.442719095306478,660.610068517708,13.793630460867139,108.52996863823242,35489.299744702
40,0,20,60,0.7,30,251,0.8446215139442231,27.3289416250593,617.7474019729561,19.47447422548954,167.11833777927376,41946.70278259771
40,0,20,60,0.7,60,217,0.8617511520737328,38.20143607306278,260.4480922386574,25.47133465995804,216.33238350300698,46944.12722015251
40,0,30,16,0.3,15,328,0.7774390243902439,7.473374995091442,700.7562472847349,14.521456907015962,51.06449257907005,16749.153565934976
40,0,30,16,0.3,30,295,0.8508474576271187,11.482588410329628,642.893580739983,19.851133156612907,64.75568494425768,19102.927058556015
40,0,30,16,0.3,60,280,0.8857142857142857,17.522908243942943,388.7235498128575,25.20487949543701,72.93444598550299,20421.644875940838
40,0,30,16,0.5,15,327,0.7798165137614679,7.591160070646978,660.610068517708,14.626559732582852,51.34342429572478,16789.299744702002
40,0,30,16,0.5,30,293,0.8532423208191127,11.63038040305217,617.7474019729561,20.0418723031959,65.20458053826438,19104.942097711464
